Date,Open,High,Low,Close,AdjClose,Volume
2024-11-05,487.6100,492.8800,487.5200,492.2100,487.7861,24353600
2024-11-06,500.5600,506.4100,499.6000,505.5800,501.0359,43082200
2024-11-07,508.4000,514.3300,508.3400,513.5400,508.9244,32853100
2024-11-08,513.0400,514.9200,512.4100,514.1400,509.5190,22924500
2024-11-11,515.3700,515.5800,510.9200,513.8400,509.2218,24167500
2024-11-12,513.7700,514.6600,509.8300,512.9100,508.3000,25835300
2024-11-13,512.4000,514.9800,509.9500,512.2500,507.6460,24567400
2024-11-14,511.9100,512.7900,507.7700,508.6900,504.1180,28679500
2024-11-15,502.9400,503.3300,494.4900,496.5700,492.1069,51461100
2024-11-18,498.1300,502.1400,496.7300,500.0200,495.5259,27080800
2024-11-19,497.4200,503.9500,497.0800,503.4600,498.9349,24523000
2024-11-20,503.1600,503.4800,496.5600,503.1700,498.6476,29565500
2024-11-21,506.2400,506.9600,497.5600,504.9800,500.4413,34526700
2024-11-22,504.4200,506.5300,502.7800,505.7900,501.2440,23826600
2024-11-25,509.9000,511.4500,504.2600,506.5900,502.0369,26375200
2024-11-26,508.0800,510.1400,507.2300,509.3100,504.7324,26557100
2024-11-27,508.1700,508.2400,501.9300,505.3000,500.7585,24957400
2024-11-29,505.9300,510.3400,505.3100,509.7400,505.1585,15334000
2024-12-02,511.0100,516.2600,510.6200,515.2900,510.6586,25147200
2024-12-03,513.9500,517.1500,513.3700,516.8700,512.2244,18597900
2024-12-04,520.3200,523.5200,519.6000,523.2600,518.5571,26086200
2024-12-05,523.3100,524.0400,521.4200,521.8100,517.1201,18169600
2024-12-06,522.4800,526.7200,522.3500,526.4800,521.7480,23762600
2024-12-09,525.5500,526.3500,521.2200,522.3800,517.6850,20674400
2024-12-10,523.6200,525.3800,519.1600,520.6000,515.9209,24350000
2024-12-11,525.0000,530.6100,524.5900,529.9200,525.1572,32168600
2024-12-12,527.6800,528.9600,526.0200,526.5000,521.7679,23577500
2024-12-13,530.4600,533.1700,527.3000,530.5300,525.7618,28780400
